id,fopt,freq,fts,machine,memory,natoms,nbasis,nproc,popt,sp,runtime
n2p1.comet.sdsc.xsede.org.1311188.151124,1,1,0,3,1000,3,136,16,0,0,579
AMg1l3_m.comet.sdsc.xsede.org.586612.150608,1,1,0,3,16000,51,590,16,0,0,129142
dh3tt2opt.comet.sdsc.xsede.org.629753.150630,0,1,1,3,1000,27,240,16,0,0,4062
Ca1.trestles.sdsc.teragrid.org.2498427.150217,1,1,0,1,8000,105,959,16,0,0,1050007
mh16.comet.sdsc.xsede.org.511851.150427,1,1,0,3,8000,62,764,16,0,0,61921
t2.comet.sdsc.xsede.org.1634618.160217,0,1,0,3,16000,0,0,16,1,0,610972
dav_p_246_xyl_mpw_freq.comet.sdsc.xsede.org.595438.150613,0,1,0,3,1000,43,346,16,0,0,8440
nm12.trestles.sdsc.teragrid.org.2552242.150327,0,0,0,1,1000,3,206,16,0,1,27626
mx21.gordon.sdsc.edu.2052586.150514,1,0,0,2,8000,49,488,16,0,0,366096
mq39.comet.sdsc.xsede.org.628749.150629,0,0,0,3,8000,41,433,16,0,1,3838
ch5c_1a.trestles.sdsc.teragrid.org.2484238.150209,0,1,0,1,5000,7,428,16,0,0,1517948
bk10.comet.sdsc.xsede.org.737850.150731,1,0,0,3,8000,46,678,16,0,0,305047
nt34.trestles.sdsc.teragrid.org.2550627.150325,1,0,0,1,1000,4,279,16,0,0,23583
mk79.gordon.sdsc.edu.2043041.150507,1,0,0,2,12000,69,658,16,0,0,29737
na3f2.trestles.sdsc.teragrid.org.2548978.150323,0,1,0,1,5000,5,90,16,0,0,350
nb16.comet.sdsc.xsede.org.600341.150616,0,0,0,3,2000,7,322,16,0,1,85886
ds32.trestles.sdsc.teragrid.org.2521478.150224,1,1,0,1,8000,54,311,16,0,0,38966
dh1et4sfirc.comet.sdsc.xsede.org.591554.150610,0,0,0,0,1000,24,221,16,0,0,91226
ph3.comet.sdsc.xsede.org.697412.150718,1,1,0,3,8000,92,1032,16,0,0,61358
mg46.comet.sdsc.xsede.org.577854.150603,1,0,0,3,8000,60,592,16,0,0,392280
dh2tt1sfirc.comet.sdsc.xsede.org.590294.150610,0,0,0,0,1000,27,240,16,0,0,117032
n7a.comet.sdsc.xsede.org.1315094.151125,1,1,0,3,1000,5,124,16,0,0,1003
dav_r246_tol+vt.trestles.sdsc.teragrid.org.2530435.150302,1,1,0,1,1000,43,346,16,0,0,44691
mq15.comet.sdsc.xsede.org.628710.150629,0,0,0,3,8000,41,433,16,0,1,3384
mh82.comet.sdsc.xsede.org.584487.150607,1,1,0,3,8000,49,488,16,0,0,22307
n3.comet.sdsc.xsede.org.1313127.151125,1,1,0,3,1000,5,124,16,0,0,583
nm27.trestles.sdsc.teragrid.org.2572835.150410,1,0,0,1,1000,7,220,16,0,0,30955
7TS2a.trestles.sdsc.teragrid.org.2438935.150106,0,0,1,1,16000,40,426,16,0,0,21431
n3a.comet.sdsc.xsede.org.1364410.151211,1,1,0,3,1000,5,256,16,0,0,1283
nt25.trestles.sdsc.teragrid.org.2550549.150325,1,0,0,1,1000,4,266,16,0,0,62467
mu1.trestles.sdsc.teragrid.org.2571507.150408,1,0,0,1,8000,32,190,16,0,0,31261
mt5.comet.sdsc.xsede.org.670981.150707,1,1,0,3,8000,92,704,16,0,0,30975
dh2ep2sf.comet.sdsc.xsede.org.644324.150702,0,1,0,3,1000,27,240,16,0,0,2012
AKPYR.trestles.sdsc.teragrid.org.2578052.150415,1,1,0,1,9000,26,260,16,0,0,4915
mq32.comet.sdsc.xsede.org.648585.150703,0,0,0,3,8000,41,433,16,0,1,3379
md38.comet.sdsc.xsede.org.562708.150525,1,0,0,3,8000,52,533,6,0,0,132309
dav_p_2ph_xyl_freq.comet.sdsc.xsede.org.595473.150613,0,1,0,3,1000,44,387,16,0,0,11492
ka2.comet.sdsc.xsede.org.951136.150904,1,1,0,3,8000,32,374,16,0,0,8641
mn29.comet.sdsc.xsede.org.516923.150430,1,1,0,3,8000,51,648,16,0,0,45255
fa2.comet.sdsc.xsede.org.595555.150613,1,1,0,3,8000,10,394,16,0,0,163761
ms47.comet.sdsc.xsede.org.526295.150506,1,0,0,3,8000,45,445,16,0,0,95431
natr.trestles.sdsc.teragrid.org.2550425.150324,1,1,0,1,0,3,54,0,0,0,17
n1.comet.sdsc.xsede.org.563500.150526,0,1,0,3,1000,7,290,16,0,0,111621
me13.comet.sdsc.xsede.org.514750.150428,1,1,0,3,8000,38,392,16,0,0,10513
nb3t.comet.sdsc.xsede.org.1312214.151125,0,0,0,3,1000,3,92,16,0,1,379
dav_r246_g.trestles.sdsc.teragrid.org.2525512.150226,1,1,0,1,1000,43,346,16,0,0,68301
mg17.comet.sdsc.xsede.org.511980.150427,1,1,0,3,8000,32,425,16,0,0,20836
np32.comet.sdsc.xsede.org.566279.150527,1,0,0,3,1000,7,292,16,0,0,340913
am21.comet.sdsc.xsede.org.738739.150801,0,0,0,3,8000,41,433,16,0,1,3402
2TSe6g1.trestles.sdsc.teragrid.org.2434621.150103,0,1,1,1,20000,68,681,16,0,0,217268
BaN1i_1.trestles.sdsc.teragrid.org.2528189.150226,1,1,0,1,8000,7,141,16,0,0,7925
dh4t1sfirc.comet.sdsc.xsede.org.592791.150611,0,0,0,0,1000,30,259,16,0,0,111920
mp24.trestles.sdsc.teragrid.org.2580198.150417,1,1,0,1,8000,82,801,16,0,0,319621
nt60.trestles.sdsc.teragrid.org.2550535.150325,1,0,0,1,1000,2,133,16,0,0,2290
dav_3ph_ts2.comet.sdsc.xsede.org.604993.150618,0,0,1,3,1000,54,485,16,0,0,102470
AMg1j1_m.comet.sdsc.xsede.org.647823.150702,1,1,0,3,16000,51,590,16,0,0,26939
nm2p.comet.sdsc.xsede.org.1309648.151124,1,1,0,3,1000,3,85,16,0,0,1427
nb15.trestles.sdsc.teragrid.org.2572900.150410,0,0,0,1,1000,7,322,16,0,1,427380
Fcac-freq.trestles.sdsc.teragrid.org.2534632.150304,1,1,0,1,16000,126,1552,16,0,0,4544181
k1.comet.sdsc.xsede.org.607610.150620,1,1,0,3,8000,51,326,16,0,0,59430
S3Rb.trestles.sdsc.teragrid.org.2530150.150301,1,1,0,1,8000,22,275,16,0,0,19882
mh2.gordon.sdsc.edu.2082712.150606,0,0,0,2,8000,49,488,16,0,1,4862
dh1et3sfnbo.comet.sdsc.xsede.org.596045.150613,0,0,0,3,1000,24,221,16,0,1,294
new7b.comet.sdsc.xsede.org.1340411.151203,1,1,0,3,1000,5,124,16,0,0,772
ak1.trestles.sdsc.teragrid.org.2556384.150401,1,1,0,1,9000,26,260,16,0,0,4948
l209hf.trestles.sdsc.teragrid.org.2442742.150112,0,0,1,1,1000,140,1671,16,0,0,4631703
mh61.comet.sdsc.xsede.org.584348.150607,1,1,0,3,8000,35,356,16,0,0,9265
4d.comet.sdsc.xsede.org.1550449.160126,1,1,0,3,16000,133,1411,16,0,0,690535
n45.comet.sdsc.xsede.org.1272919.151116,0,0,0,3,2000,7,324,16,0,1,57228
nv41.comet.sdsc.xsede.org.792362.150813,0,0,0,3,3000,7,324,16,0,1,250836
ma11.comet.sdsc.xsede.org.555862.150519,1,0,0,3,8000,41,433,16,0,0,174434
es2.comet.sdsc.xsede.org.708184.150721,1,1,0,3,8000,32,425,16,0,0,24719
mk81.comet.sdsc.xsede.org.595829.150613,1,1,0,3,8000,96,712,16,0,0,29200
dyodob3s.trestles.sdsc.teragrid.org.2449269.150119,1,1,0,1,8000,61,853,16,0,0,277074
dh1et4opt.comet.sdsc.xsede.org.613679.150625,0,1,1,3,1000,24,221,16,0,0,3401
yu1cis.comet.sdsc.xsede.org.759095.150810,1,1,0,3,8000,19,283,16,0,0,9323
r79.trestles.sdsc.teragrid.org.2532788.150303,1,0,0,1,8000,64,665,16,0,0,429453
